pair,run_a,run_b,n,n01_A_wrong_B_right,n10_A_right_B_wrong,chi2_cc,p_value
finetune_resnet50 vs vlm_lora_finetune_mayo,finetune_resnet50,vlm_lora_finetune_mayo,1686,168,512,173.01323529411764,1.625843738436712e-39
finetune_resnet50 vs vlm_zero_shot_mayo,finetune_resnet50,vlm_zero_shot_mayo,1686,168,512,173.01323529411764,1.625843738436712e-39
finetune_vit_or_swin vs vlm_lora_finetune_mayo,finetune_vit_or_swin,vlm_lora_finetune_mayo,1686,247,524,98.80155642023347,2.79115017881546e-23
finetune_vit_or_swin vs vlm_zero_shot_mayo,finetune_vit_or_swin,vlm_zero_shot_mayo,1686,247,524,98.80155642023347,2.79115017881546e-23
finetune_resnet50 vs resnet50_frozen_logreg,finetune_resnet50,resnet50_frozen_logreg,1686,146,370,96.37403100775194,9.51064765484063e-23
vit_frozen_logreg vs vlm_lora_finetune_mayo,vit_frozen_logreg,vlm_lora_finetune_mayo,1686,212,452,86.02560240963855,1.776210714553879e-20
vit_frozen_logreg vs vlm_zero_shot_mayo,vit_frozen_logreg,vlm_zero_shot_mayo,1686,212,452,86.02560240963855,1.776210714553879e-20
finetune_vit_or_swin vs resnet50_frozen_logreg,finetune_vit_or_swin,resnet50_frozen_logreg,1686,189,346,45.48785046728972,1.535885878275668e-11
finetune_resnet50 vs vit_frozen_logreg,finetune_resnet50,vit_frozen_logreg,1686,162,266,24.787383177570092,6.401511557947982e-07
resnet50_frozen_logreg vs vit_frozen_logreg,resnet50_frozen_logreg,vit_frozen_logreg,1686,351,231,24.331615120274915,8.109705486434339e-07
resnet50_frozen_logreg vs vlm_lora_finetune_mayo,resnet50_frozen_logreg,vlm_lora_finetune_mayo,1686,254,374,22.54936305732484,2.0481242713755e-06
resnet50_frozen_logreg vs vlm_zero_shot_mayo,resnet50_frozen_logreg,vlm_zero_shot_mayo,1686,254,374,22.54936305732484,2.0481242713755e-06
finetune_resnet50 vs finetune_vit_or_swin,finetune_resnet50,finetune_vit_or_swin,1686,125,192,13.741324921135647,0.0002097874677549659
finetune_vit_or_swin vs vit_frozen_logreg,finetune_vit_or_swin,vit_frozen_logreg,1686,194,231,3.0494117647058823,0.08076639095687528
vlm_lora_finetune_mayo vs vlm_zero_shot_mayo,vlm_lora_finetune_mayo,vlm_zero_shot_mayo,1686,0,0,0.0,1.0
