run_a,run_b,display_a,display_b,n,n01_a_wrong_b_right,n10_a_right_b_wrong,chi2_cc,p_value
clip_linear_baseline,resnet50_frozen_logreg,CLIP linear,ResNet50 frozen+LR,1686,228,311,12.47495361781076,0.00041244489519385474
clip_linear_baseline,vit_frozen_logreg,CLIP linear,ViT frozen+LR,1686,251,214,2.7870967741935484,0.0950262463989372
clip_linear_baseline,finetune_resnet50,CLIP linear,ResNet50 fine-tune,1686,298,139,57.12585812356979,4.087952887767937e-14
clip_linear_baseline,finetune_vit_or_swin,CLIP linear,ViT/Swin fine-tune,1686,262,235,1.3601609657947686,0.2435095867650766
clip_linear_baseline,vlm_zero_shot_mayo,CLIP linear,VLM zero-shot,1686,217,420,64.05651491365776,1.2090083139772448e-15
clip_linear_baseline,vlm_zero_shot_mode2_label_sampling_full_20260302,CLIP linear,VLM mode2 sampling,1686,216,475,96.32995658465991,9.724742252820812e-23
clip_linear_baseline,vlm_lora_finetune_mayo_balanced_full_20260303,CLIP linear,VLM LoRA balanced,1686,269,183,15.984513274336283,6.386276904793572e-05
resnet50_frozen_logreg,clip_linear_baseline,ResNet50 frozen+LR,CLIP linear,1686,311,228,12.47495361781076,0.00041244489519385474
resnet50_frozen_logreg,vit_frozen_logreg,ResNet50 frozen+LR,ViT frozen+LR,1686,351,231,24.331615120274915,8.109705486434339e-07
resnet50_frozen_logreg,finetune_resnet50,ResNet50 frozen+LR,ResNet50 fine-tune,1686,390,148,107.95724907063197,2.746386805999064e-25
resnet50_frozen_logreg,finetune_vit_or_swin,ResNet50 frozen+LR,ViT/Swin fine-tune,1686,333,223,21.368705035971225,3.7890581471140714e-06
resnet50_frozen_logreg,vlm_zero_shot_mayo,ResNet50 frozen+LR,VLM zero-shot,1686,254,374,22.54936305732484,2.0481242713755e-06
resnet50_frozen_logreg,vlm_zero_shot_mode2_label_sampling_full_20260302,ResNet50 frozen+LR,VLM mode2 sampling,1686,258,434,44.255780346820806,2.881522728984582e-11
resnet50_frozen_logreg,vlm_lora_finetune_mayo_balanced_full_20260303,ResNet50 frozen+LR,VLM LoRA balanced,1686,380,211,47.756345177664976,4.826197076477925e-12
vit_frozen_logreg,clip_linear_baseline,ViT frozen+LR,CLIP linear,1686,214,251,2.7870967741935484,0.0950262463989372
vit_frozen_logreg,resnet50_frozen_logreg,ViT frozen+LR,ResNet50 frozen+LR,1686,231,351,24.331615120274915,8.109705486434339e-07
vit_frozen_logreg,finetune_resnet50,ViT frozen+LR,ResNet50 fine-tune,1686,278,156,33.735023041474655,6.315338651511023e-09
vit_frozen_logreg,finetune_vit_or_swin,ViT frozen+LR,ViT/Swin fine-tune,1686,230,240,0.1723404255319149,0.6780401189182237
vit_frozen_logreg,vlm_zero_shot_mayo,ViT frozen+LR,VLM zero-shot,1686,212,452,86.02560240963855,1.776210714553879e-20
vit_frozen_logreg,vlm_zero_shot_mode2_label_sampling_full_20260302,ViT frozen+LR,VLM mode2 sampling,1686,204,500,123.61505681818181,1.0228005093029725e-28
vit_frozen_logreg,vlm_lora_finetune_mayo_balanced_full_20260303,ViT frozen+LR,VLM LoRA balanced,1686,249,200,5.131403118040089,0.02349672573467892
finetune_resnet50,clip_linear_baseline,ResNet50 fine-tune,CLIP linear,1686,139,298,57.12585812356979,4.087952887767937e-14
finetune_resnet50,resnet50_frozen_logreg,ResNet50 fine-tune,ResNet50 frozen+LR,1686,148,390,107.95724907063197,2.746386805999064e-25
finetune_resnet50,vit_frozen_logreg,ResNet50 fine-tune,ViT frozen+LR,1686,156,278,33.735023041474655,6.315338651511023e-09
