lane,metric,n,mean,std,ci95_low,ci95_high,min,max
lora_mode1_train,accuracy,3,0.7819296164491893,0.0030436544717953023,0.7793594306049823,0.7852906287069988,0.7793594306049823,0.7852906287069988
lora_mode1_train,balanced_accuracy,3,0.736291880352006,0.006197075494638919,0.7292170724932999,0.7407588352525524,0.7292170724932998,0.7407588352525523
lora_mode1_train,macro_f1,3,0.7279199995261996,0.006913680097202577,0.7201470808012674,0.7333829338672669,0.7201470808012675,0.7333829338672669
lora_mode1_train,weighted_f1,3,0.7862254885596428,0.002242116370614763,0.784180912480909,0.7886232282750351,0.7841809124809089,0.788623228275035
lora_mode1_train,qwk,3,0.8636564897888555,0.0018966002766607588,0.8623815130141116,0.8658360282004898,0.8623815130141115,0.8658360282004898
lora_mode1_train,mae,3,0.22143139580862,0.002802974867290996,0.21826809015421114,0.2236061684460261,0.21826809015421114,0.2236061684460261
lora_mode1_train,rmse,3,0.4780655719084151,0.0017926880319636357,0.47599555407276056,0.4791005808262423,0.4759955540727606,0.4791005808262423
lora_mode1_train,parse_rate,3,1.0,0.0,1.0,1.0,1.0,1.0
lora_mode2_eval,accuracy,3,0.5486358244365361,0.0,0.5486358244365361,0.5486358244365361,0.5486358244365361,0.5486358244365361
lora_mode2_eval,balanced_accuracy,3,0.25,0.0,0.25,0.25,0.25,0.25
lora_mode2_eval,macro_f1,3,0.17713519724243584,0.0,0.17713519724243584,0.17713519724243584,0.17713519724243584,0.17713519724243584
lora_mode2_eval,weighted_f1,3,0.38873085990332895,0.0,0.38873085990332895,0.38873085990332895,0.38873085990332895,0.38873085990332895
lora_mode2_eval,qwk,3,0.0,0.0,0.0,0.0,0.0,0.0
lora_mode2_eval,mae,3,0.6986951364175563,0.0,0.6986951364175563,0.6986951364175563,0.6986951364175563,0.6986951364175563
lora_mode2_eval,rmse,3,1.1557273954415634,0.0,1.1557273954415634,1.1557273954415634,1.1557273954415634,1.1557273954415634
lora_mode2_eval,parse_rate,3,1.0,0.0,1.0,1.0,1.0,1.0
